year,county,cc,mc,month,municipality,date,persons_killed,driver,passenger,cyclist,pedestrian
2015,Passaic,16,8.0,8,PATERSON CITY,08/10/2015,.0 1 PEDALCYCLIST,0,0,1,0
2015,Hudson,9,6.0,8,JERSEY CITY,08/11/2015,.5 1 DRIVER,1,0,0,0
2015,Cumberland,6,9.0,8,MAURICE RIVER TWSP,08/12/2015,.5 2 DRIVERS,2,0,0,0
2015,Bergen,2,17.0,8,FAIR LAWN BORO,08/14/2015,.0 1 DRIVER,1,0,0,0
2015,Monmouth,13,17.0,8,FREEHOLD TWSP,08/14/2015,.1 1 PEDESTRIAN,0,0,0,1
2015,Passaic,16,14.0,8,WAYNE TWSP,08/15/2015,".2 1 DRIVER, 1 PASSENGER",1,1,0,0
2015,Burlington,3,29.0,8,PEMBERTON TWSP,08/16/2015,.0 1 DRIVER,1,0,0,0
2015,Essex,7,9.0,8,IRVINGTON TOWN,08/16/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Burlington,3,33.0,8,SOUTHAMPTON TWSP,08/18/2015,.2 2 PEDESTRIANS,0,0,0,2
2015,Monmouth,13,52.0,8,WALL TWSP,08/18/2015,.2 1 PEDESTRIAN,0,0,0,1
